Attraction,Summary,Latitude,Longitude
Louvre Museum,Louvre museum is a world class museum. It's too crowded to see all the important pieces. The maps are useless and the galleries are numbered way up high and hard to see. Mona Lisa was rammed but elsewhere was not crowded. The museum is expensive but it's worth the visit.,48.86073106,2.338287727
Eiffel Tower,"The Eiffel Tower is beautiful and awe inspiring when seen up close and personal. Jack recommends getting tickets in advance and trying to go as early in the day as possible to avoid crowds. He recommends going to the summit first, then the second level and down to the first level. Jack and his wife went to the tower on a Thursday evening at 9:30 pm.",48.85844772,2.294803162
Seine River,Take a boat ride on the Seine River to see Paris from a different angle. Watch for the Eiffel Tower's light show in the early evening. Take a batobus or bateaux mouches that offer narrated cruises with or without meals.,48.69549507,2.578481696
Cathedrale Notre-Dame,"After the fire some years ago, Notre Dame has been closed to the public, but it's still impressive to see from the outside. It's still worthwhile to go, but don't plan on tours any time soon. There are bleachers outside so people can watch the repair work going on.",48.853039,2.350352834
Versaille,"There are many more interesting and accessible places in Paris than Versailles. The rooms are filled with paintings of former monarchs and their families. The museum's audio guide doesn't tell a compelling story. The gardens are nice for walking but lack shade unless you get pretty far outside the palace. The little tourist train will cost, but it drops you off at the Grand Trianon and it's free.",48.80501326,2.121074229
Saint-Chapelle,"The Sainte Chapelle was built to hold the relics belonging to the Royal family and has magnificent stain glass windows. It's a short walk from the Louvre and offers free access with the Paris Museum Pass. The chapel is smaller than expected, but it's beautiful and intimate. The concert at Saint Chapelle last Saturday evening was very poor.",48.85548792,2.345636814
Sacre-Coeur Basilique,"There are nearly 40,000 Tripadvisor reviews on the site about Basilique Du Sacre Coeur De Montmartre. It's a national monument in France,constructed between 1875-1914 and built from designs from architect Paul Abadie. The biggest complaint from tourists is running the gauntlet of aggressive panhandlers and con artists lurking around the staircase leading up to the church.",48.88685978,2.343973333
Pantheon,"The Pantheon was built as a church in honor of Paris patron Saint St. Geneivive. It became a mausoleum after the famous Victor Hugo was buried here. The Panth̩on is a beautiful massive building with wall paintings. The entry is free, but you need to scan a QR code on the site to order the free tickets.",48.84629944,2.346885866
Orsay Museum,Musee d'Orsay was a highlight on our recent trip to Europe. The impressionist paintings were truly amazing and the rest of the museum is very well done. Go straight to the 5th floor to get the full impressionist experience. Prebooking your tickets is highly recommended in order to avoid waiting time.,48.86008137,2.326947635
Orangerie Museum,"Monet's Water Lilies are on display in the Tuileries Garden. The Matisse exhibit was interesting but the Monets are the main draw. The museum footprint is small compared to others like the Louvre and Orsay, but the quality is outstanding. The staff were helpful because we had the wrong tickets for the wrong date.",48.86384484,2.3233805
