Entity,Name,Address,Price,Latitude,Longitude
1,Da Giuseppe,"76 rue du Faubourg Poissonniere, 75010 Paris France",12591.5,48.8763806,2.3486512
2,Bistrot Instinct,"19 rue de Picardie, 75003 Paris France",68555.0,48.8638025,2.362786
3,Il Etait Un Square,"54 rue Corvisart, 75013 Paris France",68431.285714,48.8310276,2.3479492
4,Chez Nicos,"44 rue Mouffetard, 75005 Paris France",9793.5,48.8435581,2.3494052
5,Le Comptoir Boutary,"32 Rue Catherine De La Rochefoucauld, 75009 Paris France",45573.0,48.8792195,2.3348577
6,Perlimpinpin,"121 rue de Rome, 75017 Paris France",29380.5,48.88479270000001,2.3173918
7,Les Apotres de Pigalle,"2 rue Germain Pilon, 75018 Paris France",68431.285714,48.88302119999999,2.3364305
8,Nell'Arte,"58 rue Marguerite de Rochechouart, 75009 Paris France",20833.5,48.8806498,2.346499
9,Alix et Mika,"37 rue Lamarck, 75018 Paris France",34977.0,48.8892114,2.3415164
10,Pur' - Jean-François Rouquette,"5 Rue de la Paix Park Hyatt Paris, 75002 Paris France",475687.5,48.8688209,2.3305496
11,Frog XVI,"110 B avenue Kleber, 75116 Paris France",19587.0,48.86467469999999,2.2881539
12,Pizzeria Arrivederci,"47 rue Gay Lussac, 75005 Paris France",21686.0,48.84179169999999,2.3435514
13,HABILE.,"16 rue de Lancry À l'angle de la rue de Lancry et de la rue Château d'eau, 75010 Paris France",71353.0,48.8723198,2.3631817
14,Assanabel Paris,"6 rue Pierre Chausson, 75010 Paris France",62958.5,48.8704744,2.3604652
15,Chez Pradel Bastille,"3 rue du Pasteur Wagner, 75011 Paris France",36376.0,48.8559971,2.3690051
16,Cavale,"40 rue des Petites Ecuries, 75010 Paris France",68431.285714,48.8739189,2.3501922
17,Bao & ME,"89 rue du Faubourg Poissonniere, 75009 Paris France",23437.5,48.87677610000001,2.3485521
18,Miura,"15, rue de l'Arc de Triomphe, 75017 Paris France",100734.0,48.87705700000001,2.2934153
19,Au P'tit Curieux,"27 rue de Sambre Et Meuse, 75010 Paris France",76949.5,48.8747456,2.3728023
20,Gosier,"27 rue Rodier, 75009 Paris France",68431.285714,48.8790233,2.3428128
21,Domenico's,"8 rue Saint Lazare, 75009 Paris France",34277.5,48.8769929,2.3383419
22,114 Faubourg,"114 rue du Faubourg Saint Honore, 75008 Paris France",68431.285714,48.8718443,2.3144948
23,Verse Toujours,"3 avenue des Gobelins, 75005 Paris France",24739.5,48.8384464,2.3511203
24,Chefs à Table,"15 rue Trousseau, 75011 Paris France",68431.285714,48.8519259,2.3787766
25,Orgueil,"6 rue Popincourt, 75011 Paris France",52465.5,48.8570915,2.3777173
26,ASPIC,"24 rue de la Tour D Auvergne, 75009 Paris France",166491.0,48.8792212,2.3436788
27,Boutary,"25 rue Mazarine, 75006 Paris France",118922.0,48.8548733,2.3380019
28,Poni,"24 rue Saint Lazare, 75009 Paris France",68431.285714,48.8768729,2.3369826
29,Bistrot Kinzo,"13 rue Rougemont, 75009 Paris France",46869.0,48.8720575,2.3459016
30,New Jawad Longchamp,"30 rue de Longchamp, 75116 Paris France",68431.285714,48.8651607,2.2902164
31,Pardi,"85 B boulevard de Magenta Marché Saint Quentin, 75010 Paris France",31479.0,48.8769631,2.3551219
32,Aux Enfants Gates,"4 rue Danville 75014, 75014 Paris France",68431.285714,48.8344126,2.3275455
33,Le Village Russe,"21 quai D Austerlitz 1-2 Place Holmes, 75013 Paris France",73451.5,48.8389602,2.3715203
34,Alliance,"5 rue de Poissy, 75005 Paris France",223853.0,48.8499293,2.3533555
35,Bus Toqué,"67 avenue des Champs Elysees, 75008 Paris France",118921.5,48.8705069,2.3039184
36,Terra Mia,"118 boulevard du Montparnasse, 75014 Paris France",27981.5,48.84146670000001,2.330500100000001
37,Zincou Vins & Tapas,"50 rue Blanche, 75009 Paris France",34977.0,48.8801372,2.3314955
38,Petit Boutary,"16 rue Jacquemont, 75017 Paris France",73567.5,48.8878992,2.3223677
39,Pastamore,"37 Boulevard du Montparnasse, 75006 Paris France",29380.5,48.8449941,2.3212612
40,Il Grano,"212 B boulevard Pereire, 75017 Paris France",34977.0,48.8796725,2.2867885
41,Granite par Tom Meyer,"6 rue Bailleul, 75001 Paris France",68431.285714,48.8610438,2.3419215
42,Maison Cluny,"3 rue de Cluny, 75005 Paris France",68431.285714,48.8505349,2.3448444
43,JJ Beaumarchais,"92 boulevard Beaumarchais, 75011 Paris France",68431.285714,48.8598875,2.3679181
44,Signature Montmartre,"12 Rue des Trois Freres, 75018 Paris France",81146.5,48.8844222,2.3413207
45,Via Emilia,"22 rue la Bruyere 22 rue la Bruyère, 75009 Paris France",68431.285714,48.8793273,2.3352736
46,Chez Cleopatre (Tacoos -Burger),"46 rue Condorcet, 75009 Paris France",20182.0,48.88027659999999,2.3435229
47,La Bonne Franquette,"18 Rue Saint Rustique Angle 2, Rue des Saules, 75018 Paris France",48968.0,48.8871883,2.3398387
48,Can Alegria Paris,"73 rue Jean Baptiste Pigalle, 75009 Paris France",68431.285714,48.8817764,2.3367495
49,Issa Paris,"4 rue du petit Moine, 75005 Paris France",41972.5,48.8381969,2.3515261
50,Milord,"12 rue Tolbiac, 75013 Paris France",68431.285714,48.8298664,2.3749525
